ID,Título,Descrição,Prioridade,Área,Estimativa,Dependências,Critério de Aceite
PB-001,Política de privacidade — sites de advocacia,"Implementar página /politica-privacidade com texto LGPD-compliant em Samara Galli, Leal & Loron e Dra. Gabriela Pan",Crítica,Legal/LGPD,M,,Página existe, linkada no footer, texto cobre Art. 9 e 13 da LGPD
PB-002,Política de privacidade — sites de saúde e odontologia,"Implementar /politica-privacidade em Solange Camargo Nutri, Sirius Odontologia e Fluari Odontologia",Crítica,Legal/LGPD,M,,Página existe com tratamento especial para dados de saúde (dado sensível LGPD)
PB-003,Banner de cookies LGPD em todos os sites cliente,"Adicionar banner de consentimento de cookies em todos os 15 sites cliente com opção de aceitar/recusar",Alta,Legal/LGPD,L,PB-001,Banner exibido na primeira visita; preferência salva em localStorage; Google Analytics só carrega após aceite
PB-004,Campos LGPD na tabela contacts,"Adicionar lgpd_consent, lgpd_consent_at, lgpd_consent_ip e deletion_requested_at",Alta,Backend/Data,S,,Migration aplicada; campos preenchidos em todos os formulários de contato
PB-005,Formulário de contato com rate limiting,"Implementar rate limit de 5 req/min por IP em todos os formulários /api/contact",Alta,Backend/Security,S,,Retorna 429 após limite; IP banido por 5 minutos; log de tentativas
PB-006,CAPTCHA nos formulários públicos,"Integrar Cloudflare Turnstile (ou reCAPTCHA v3) em todos os formulários de contato",Alta,Security,M,PB-005,Bot score validado no servidor; formulário não envia sem token válido
PB-007,Monitoramento de uptime — todos os sites,"Configurar UptimeRobot ou Vercel Analytics para os 15 sites em produção com alertas por e-mail",Alta,DevOps,S,,Alertas chegam em <5min de downtime; dashboard com histórico de 30 dias
PB-008,Adicionar odontologia ao README e portfolio,"Atualizar README.md, CHANGELOG.md e npatecnologia.com.br com os projetos Sirius e Fluari",Média,Marketing/Product,S,,README atualizado; seção Odontologia visível no portfolio público
PB-009,Criar cadastro de clientes no npa-gestao,"CRUD completo de clientes com campos: nome, segmento, email, phone, website, vercel_project_id, status",Alta,Backend/Product,M,,API /api/v1/clients funcional; UI com formulário e listagem; validação de campos
PB-010,Pipeline de vendas no npa-gestao,"Implementar Kanban de vendas com colunas: Lead → Contato → Proposta → Contrato → Entregue → Manutenção",Alta,Product,L,PB-009,Pipeline visível; drag-and-drop funcional; histórico de movimentações
PB-011,Geração de proposta em PDF,"Gerar PDF de proposta a partir do template padrão com logo, serviços, valores e assinatura",Média,Product,M,PB-009,PDF gerado server-side; download disponível; campos obrigatórios validados
PB-012,Módulo financeiro — faturas,"Criar tabela invoices, API e UI para emissão e controle de faturas por projeto",Média,Backend/Product,L,PB-009,Fatura criada com status pending; atualização para paid com data; relatório mensal
PB-013,Dashboard de receita no npa-gestao,"Tela com MRR, receita por segmento, projetos em andamento e pipeline de vendas",Média,Product/Data,M,PB-012,Dashboard carrega em <2s; gráficos corretos; filtrável por período
PB-014,Template de briefing por segmento,"Criar formulário de briefing específico para advocacia, gastronomia, beauty, automotivo, saúde e odontologia",Média,Product/UX,M,,Formulários distintos por segmento; dados salvos no npa-gestao; email de confirmação
PB-015,Biblioteca de componentes reutilizáveis v1,"Criar pacote com Hero, CTA, Testimonials, Footer, NavBar, ContactForm em Next.js + Tailwind",Alta,Frontend,L,,Componentes documentados; Storybook configurado; usados em pelo menos 2 novos projetos
PB-016,Design tokens oficiais,"Definir e publicar tokens de cor, tipografia, espaçamento e animação da NPA como CSS vars ou Tailwind config",Média,UX/Frontend,S,,Tokens documentados; aplicados nos templates; versionados
PB-017,CI/CD com preview deployments,"Garantir que todo PR gere preview deployment automático no Vercel para todos os projetos ativos",Alta,DevOps,M,,PR cria URL de preview; link no comentário do PR; deletado após merge
PB-018,Suite de testes npa-gestao,"Implementar testes unitários (Vitest) e E2E (Playwright) cobrindo fluxos críticos",Alta,QA,L,PB-009,Cobertura >80% nas funções críticas; testes E2E para login, criar cliente, criar proposta
PB-019,Auditoria OWASP Top 10,"Executar auditoria de segurança nos projetos npa-gestao e npa-notas contra OWASP Top 10",Alta,Security,M,,Relatório de vulnerabilidades; itens críticos corrigidos antes do launch
PB-020,Rotação de credenciais e inventário de segredos,"Inventariar todos os env vars por projeto Vercel; recomendar rotação de chaves antigas",Alta,Security/DevOps,M,,Planilha de inventário (sem valores); rotação documentada; vault recomendado
PB-021,Integração OpenAI para geração de copy,"Endpoint /api/ai/generate que receba briefing e retorne copy de seções da landing page",Média,Backend/Integration,M,,Retorna copy em <10s; testado com 3 segmentos; custo por request monitorado
PB-022,Bot WhatsApp para formulário de contato,"Quando formulário enviado, disparar mensagem WhatsApp para o cliente com dados do lead",Média,Integration,M,PB-005,Mensagem entregue em <30s; fallback por e-mail se WhatsApp falhar
PB-023,Health check automatizado dos sites,"Script que verifica HTTP 200 em todos os 15 sites a cada 15 minutos e alerta em caso de falha",Alta,DevOps,S,,Alerta chega em <5min; log de histórico de status
PB-024,Padronizar process de deploy,"Documentar e automatizar: feature branch → PR → preview → aprovação → merge → produção",Alta,DevOps,S,,Processo documentado em CONTRIBUTING.md; todos os novos projetos seguindo
PB-025,SEO técnico — npatecnologia.com.br,"Implementar sitemap.xml, robots.txt, Open Graph, Twitter Cards e structured data (Organization, LocalBusiness)",Alta,Marketing/Frontend,M,,Google Search Console sem erros críticos; Lighthouse SEO score >90
PB-026,SEO técnico — sites cliente,"Implementar meta tags, OG, sitemap e structured data em todos os 15 sites cliente por segmento",Alta,Frontend,L,PB-025,Cada site com score Lighthouse SEO >90; structured data validado pelo Rich Results Test
PB-027,Performance — Core Web Vitals,"Auditar e otimizar LCP, FID, CLS em todos os sites; meta: LCP <2.5s, CLS <0.1",Média,Frontend,L,,PageSpeed Insights verde em todos os 15 sites
PB-028,App NPA Notas — funcionalidades core,"Garantir que npa-notas tem: criar, editar, buscar, filtrar por tag, fixar notas",Média,Product,M,,Fluxo CRUD completo; busca full-text; tags funcionando
PB-029,Descoberta do projeto Marq,"Documentar o que é o projeto 'marq' (finalidade, usuários, features, status)",Baixa,Product,S,,Documento de produto criado; status definido (ativo/descontinuado/pivotando)
PB-030,Contrato padrão de prestação de serviços,"Criar template de contrato com cláusulas: escopo, prazo, pagamento, IP, sigilo, rescisão",Alta,Legal,M,,Template revisado por advogado; usado em todos os novos contratos
PB-031,Processo de exclusão de dados LGPD,"Criar endpoint e fluxo para responder a solicitações de exclusão de dados de titulares",Alta,Legal/Backend,M,PB-004,Endpoint /api/lgpd/delete-request; confirmação por email; prazo de 15 dias (Art. 18 LGPD)
PB-032,Audit log de alterações,"Implementar tabela audit_log que registra quem, quando e o que alterou em entidades críticas",Média,Backend/Security,M,,Todo CRUD em clients, projects, invoices gera registro em audit_log
PB-033,Onboarding automático de novos clientes,"Fluxo automatizado: contrato assinado → email de boas-vindas → criação de projeto no npa-gestao → briefing enviado",Média,Product/Integration,M,PB-014,Fluxo executado em <5min após aceite; sem intervenção manual
PB-034,Notificações de prazo no npa-gestao,"Alertas automáticos quando milestone está a 3 dias do vencimento e quando atrasado",Média,Product,S,PB-009,E-mail + badge na UI; configurável por projeto
PB-035,Lighthouse CI nos repositórios,"Adicionar Lighthouse CI no GitHub Actions para barrar merge se score cair abaixo de threshold",Média,DevOps/QA,S,,Pipeline falha se Lighthouse <80; relatório no PR
PB-036,Storybook para design system,"Configurar Storybook com todos os componentes da biblioteca v1 documentados e interativos",Média,Frontend/UX,M,PB-015,Storybook deployado; cada componente com variants documentados; link no README
PB-037,Integração Google Analytics 4 nos sites cliente,"Implementar GA4 em todos os sites cliente com consentimento LGPD prévio",Média,Marketing,M,PB-003,GA4 rodando apenas após consentimento; conversions de formulário rastreadas
PB-038,Relatório mensal automatizado para clientes,"Gerar e enviar PDF mensal com: visitas, leads captados, uptime, performance",Baixa,Product/Data,L,PB-037,PDF enviado até dia 5 do mês seguinte; dados corretos por projeto
PB-039,Backups automáticos do banco de dados,"Configurar backup diário do PostgreSQL/Supabase com retenção de 30 dias e teste de restore",Alta,DevOps,S,,Backup executado diariamente; restore testado mensalmente; alerta em caso de falha
PB-040,Documentação OpenAPI para npa-gestao,"Gerar spec Swagger/OpenAPI para todos os endpoints de /api/v1 com exemplos de payload",Média,Backend,M,,Swagger UI acessível em /api/docs; spec válida; todos os endpoints documentados
PB-041,Internacionalização (i18n) — npatecnologia.com.br,"Preparar site institucional para inglês como segundo idioma (EN-US)",Baixa,Frontend,M,,next-intl configurado; pt-BR e en-US funcionando; seletor de idioma na UI
PB-042,CRM — histórico de comunicação com cliente,"Registrar todas as interações (emails, WhatsApp, calls) por cliente no npa-gestao",Média,Product,M,PB-009,Linha do tempo de contatos por cliente; filtro por tipo de comunicação
PB-043,Implementar soft delete em todas as entidades,"Adicionar deleted_at e índices parciais em clients, projects, proposals, invoices, contacts",Média,Backend,S,,Nenhum registro removido fisicamente; filtro WHERE deleted_at IS NULL em todas as queries
PB-044,Template de PR e issue no GitHub,"Criar .github/PULL_REQUEST_TEMPLATE.md e .github/ISSUE_TEMPLATE/ para os repositórios",Baixa,DevOps,S,,PRs criados com checklist de qualidade; issues com campos estruturados
